candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population,poll_id,poll_type,nb_people,start_date,end_date,folder,id,institut,commanditaire,mention1,mention2,mention3,mention4,mention5,mention6,mention7,nombre_mentions,question,prenom,nom,parti,annonce_candidature,retrait_candidature,second_tour
EP,29,53,9,4,5,,,pt2,macron,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Edouard,Philippe,,,,
BLM,16,48,16,9,11,,,pt2,macron,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Bruno,Le Maire,,,,
GD,17,46,19,7,11,,,pt2,macron,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Gérald,Darmanin,,,,
EDM,13,45,19,9,14,,,pt2,macron,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Eric,Dupond-Moretti,,,,
FB,8,49,21,8,14,,,pt2,macron,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",François,Bayrou,Mouvement Démocrate,,,
XB,7,50,20,7,16,,,pt2,macron,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Xavier,Bertrand,Les Républicains,,,
NS,10,43,26,13,8,,,pt2,macron,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Nicolas,Sarkozy,Les Républicains,,,
RG,10,41,23,12,14,,,pt2,macron,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Raphaël,Glucksmann,,,,
BC,12,37,21,9,21,,,pt2,macron,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Bernard,Cazeneuve,Parti Socialiste,,,
GL,11,36,21,9,23,,,pt2,macron,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Gérard,Larcher,Les Républicains,,,
YBP,12,33,15,6,34,,,pt2,macron,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Yaël,Braun-Pivet,,,,
DV,6,39,22,18,15,,,pt2,macron,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Dominique,de Villepin,,,,
