candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id, population
EP,10,34,21,20,15,,,pt2,all
JB,17,21,12,39,11,,,pt2,all
MLP,14,21,13,42,10,,,pt2,all
RG,7,25,17,23,28,,,pt2,all
FH,5,25,25,32,13,,,pt2,all
FR,8,21,19,22,30,,,pt2,all
NS,5,24,26,31,14,,,pt2,all
FRo,4,25,22,20,29,,,pt2,all
GD,4,23,25,29,19,,,pt2,all
BLM,4,22,24,28,22,,,pt2,all
DV,3,23,22,24,28,,,pt2,all
FB,1,23,24,28,23,,,pt2,all
MM,8,16,15,46,15,,,pt2,all
XB,3,21,25,24,27,,,pt2,all
EDM,4,18,21,37,20,,,pt2,all
OF,3,19,19,24,35,,,pt2,all
RD,2,20,25,33,20,,,pt2,all
EC,5,16,17,44,18,,,pt2,all
BC,4,17,23,23,33,,,pt2,all
GL,3,18,20,25,34,,,pt2,all
YJ,3,18,22,26,31,,,pt2,all
MT,7,13,15,26,39,,,pt2,all
LW,3,17,25,27,28,,,pt2,all
LB,3,15,19,23,40,,,pt2,all
YBP,3,14,16,22,45,,,pt2,all
CA,4,12,17,30,37,,,pt2,all
JLM,5,10,13,63,9,,,pt2,all
SR,3,12,14,41,30,,,pt2,all
EZ,4,10,13,63,10,,,pt2,all
MB,3,11,14,35,17,,,pt2,all
AH,2,12,24,46,16,,,pt2,all
MP,3,9,10,40,38,,,pt2,all
AOC,1,9,17,36,37,,,pt2,all
