candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
RG,20,39,14,7,20,,,pt2,leftists and ecologists
FRo,10,49,13,9,19,,,pt2,leftists and ecologists
FH,10,47,26,11,6,,,pt2,leftists and ecologists
FR,21,35,13,10,21,,,pt2,leftists and ecologists
OF,11,39,18,6,26,,,pt2,leftists and ecologists
YJ,8,39,18,9,26,,,pt2,leftists and ecologists
MT,22,24,6,8,40,,,pt2,leftists and ecologists
CA,14,31,10,10,35,,,pt2,leftists and ecologists
JLM,11,31,22,31,5,,,pt2,leftists and ecologists
MB,10,29,11,15,35,,,pt2,leftists and ecologists
EP,6,32,32,21,9,,,pt2,leftists and ecologists
SR,10,27,21,12,30,,,pt2,leftists and ecologists
LB,7,28,16,13,36,,,pt2,leftists and ecologists
MP,8,26,13,14,39,,,pt2,leftists and ecologists
DV,6,26,27,18,23,,,pt2,leftists and ecologists
AH,4,25,29,27,15,,,pt2,leftists and ecologists
FB,3,20,38,22,17,,,pt2,leftists and ecologists
BC,2,21,30,20,27,,,pt2,leftists and ecologists
XB,3,17,34,25,21,,,pt2,leftists and ecologists
EDM,2,16,28,38,16,,,pt2,leftists and ecologists
GD,2,16,31,40,11,,,pt2,leftists and ecologists
BLM,1,15,33,35,16,,,pt2,leftists and ecologists
LW,1,16,30,33,21,,,pt2,leftists and ecologists
GL,1,14,26,28,31,,,pt2,leftists and ecologists
NS,1,14,28,51,6,,,pt2,leftists and ecologists
JB,3,11,12,71,3,,,pt2,leftists and ecologists
YBP,2,12,19,21,46,,,pt2,leftists and ecologists
RD,3,10,33,42,12,,,pt2,leftists and ecologists
MLP,3,8,12,72,5,,,pt2,leftists and ecologists
AOC,1,7,23,35,34,,,pt2,leftists and ecologists
EC,1,7,9,70,12,,,pt2,leftists and ecologists
MM,1,7,11,76,5,,,pt2,leftists and ecologists
EZ,1,4,6,85,4,,,pt2,leftists and ecologists
