candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,29,53,9,4,5,,,pt2,macron
BLM,16,48,16,9,11,,,pt2,macron
GD,17,46,19,7,11,,,pt2,macron
EDM,13,45,19,9,14,,,pt2,macron
FB,8,49,21,8,14,,,pt2,macron
XB,7,50,20,7,16,,,pt2,macron
NS,10,43,26,13,8,,,pt2,macron
RG,10,41,23,12,14,,,pt2,macron
BC,12,37,21,9,21,,,pt2,macron
GL,11,36,21,9,23,,,pt2,macron
YBP,12,33,15,6,34,,,pt2,macron
DV,6,39,22,18,15,,,pt2,macron
RD,6,35,30,15,14,,,pt2,macron
FH,7,30,32,23,8,,,pt2,macron
LW,9,27,31,16,17,,,pt2,macron
LB,5,28,25,12,30,,,pt2,macron
FRo,4,29,32,14,21,,,pt2,macron
FR,7,24,33,15,21,,,pt2,macron
MT,7,22,26,16,29,,,pt2,macron
OF,3,25,28,17,27,,,pt2,macron
YJ,3,25,30,22,20,,,pt2,macron
AOC,2,25,23,18,32,,,pt2,macron
JB,5,18,18,54,5,,,pt2,macron
AH,4,17,29,43,7,,,pt2,macron
MLP,5,13,15,60,7,,,pt2,macron
SR,3,15,18,44,20,,,pt2,macron
EC,5,12,20,57,6,,,pt2,macron
MM,6,10,13,61,10,,,pt2,macron
MB,4,11,19,38,28,,,pt2,macron
CA,2,12,20,31,27,,,pt2,macron
JLM,6,5,9,77,3,,,pt2,macron
MP,2,9,12,50,27,,,pt2,macron
EZ,3,7,11,76,3,,,pt2,macron

