candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
MLP,44,42,6,4,4,,,pt2,far-right
JB,45,38,7,5,5,,,pt2,far-right
MM,21,43,15,10,11,,,pt2,far-right
NS,5,37,18,28,12,,,pt2,far-right
EC,12,28,19,19,22,,,pt2,far-right
EZ,14,24,22,30,10,,,pt2,far-right
BR,14,22,18,15,31,,,pt2,far-right
MB,6,28,20,27,19,,,pt2,far-right
EP,2,25,28,32,13,,,pt2,far-right
RD,1,22,24,38,15,,,pt2,far-right
GD,3,19,27,37,14,,,pt2,far-right
FB,2,20,20,37,21,,,pt2,far-right
GA,2,18,23,42,15,,,pt2,far-right
JPT,8,11,13,17,51,,,pt2,far-right
YBP,4,15,16,27,38,,,pt2,far-right
GL,4,15,23,30,28,,,pt2,far-right
LW,4,15,29,29,23,,,pt2,far-right
XB,3,16,25,33,23,,,pt2,far-right
JYLD,2,17,16,25,40,,,pt2,far-right
FBa,2,16,20,28,34,,,pt2,far-right
SL,2,15,16,26,41,,,pt2,far-right
BC,0,15,26,30,29,,,pt2,far-right
FH,1,13,21,55,10,,,pt2,far-right
DL,3,9,17,20,51,,,pt2,far-right
FRo,1,11,23,36,29,,,pt2,far-right
FR,3,8,22,37,30,,,pt2,far-right
VP,2,8,30,45,15,,,pt2,far-right
CV,1,7,16,29,47,,,pt2,far-right
RG,0,7,26,37,30,,,pt2,far-right
AH,1,5,20,65,9,,,pt2,far-right
JLM,0,6,9,79,6,,,pt2,far-right
LSM,1,4,11,23,61,,,pt2,far-right
OF,0,5,19,39,37,,,pt2,far-right
MT,1,2,17,46,34,,,pt2,far-right
