candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,9,33,22,21,15,,,pt2,all
JB,16,22,10,39,13,,,pt2,all
MLP,14,23,13,38,12,,,pt2,all
GA,7,29,22,26,16,,,pt2,all
GD,6,26,23,26,19,,,pt2,all
BR,10,21,14,23,32,,,pt2,all
MBa,4,26,24,22,24,,,pt2,all
BC,3,23,23,21,30,,,pt2,all
FH,4,21,28,33,14,,,pt2,all
RG,5,19,20,24,32,,,pt2,all
DV,5,19,24,24,28,,,pt2,all
XB,3,21,25,25,26,,,pt2,all
RD,2,22,25,32,19,,,pt2,all
NS,5,18,25,38,14,,,pt2,all
FRo,3,20,21,24,32,,,pt2,all
FR,6,16,23,23,32,,,pt2,all
NDA,4,17,18,35,26,,,pt2,all
SL,3,18,19,19,41,,,pt2,all
EB,3,18,26,39,14,,,pt2,all
EC,5,15,18,40,22,,,pt2,all
GL,3,17,22,25,33,,,pt2,all
LW,3,16,24,31,26,,,pt2,all
MV,3,16,23,40,18,,,pt2,all
OF,4,14,22,24,36,,,pt2,all
EZ,5,12,14,57,12,,,pt2,all
YBP,3,14,17,23,43,,,pt2,all
VP,3,14,28,36,19,,,pt2,all
JLM,5,10,16,58,11,,,pt2,all
MT,3,11,16,28,42,,,pt2,all
FRe,2,10,17,19,52,,,pt2,all
