candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
EP,3,26,15,21,35,,,pt2,absentionists
MLP,5,20,14,35,26,,,pt2,absentionists
JB,7,17,13,32,31,,,pt2,absentionists
GA,4,20,20,23,33,,,pt2,absentionists
BR,3,18,14,17,48,,,pt2,absentionists
GD,1,18,17,28,36,,,pt2,absentionists
FH,2,16,24,28,30,,,pt2,absentionists
RG,2,13,11,19,55,,,pt2,absentionists
RD,2,13,19,30,36,,,pt2,absentionists
NS,2,13,19,39,27,,,pt2,absentionists
MBa,0,15,15,22,48,,,pt2,absentionists
FR,2,12,12,23,51,,,pt2,absentionists
XB,0,14,17,21,48,,,pt2,absentionists
FRo,1,11,15,20,53,,,pt2,absentionists
GL,2,8,16,22,52,,,pt2,absentionists
EB,1,9,23,34,33,,,pt2,absentionists
JLM,3,6,14,50,27,,,pt2,absentionists
EZ,2,7,11,53,27,,,pt2,absentionists
VP,1,8,21,32,38,,,pt2,absentionists
OF,0,9,12,21,58,,,pt2,absentionists
MT,2,6,11,20,61,,,pt2,absentionists
MB,2,6,10,25,57,,,pt2,absentionists
EC,2,6,15,35,42,,,pt2,absentionists
MV,1,7,19,35,38,,,pt2,absentionists
YBP,1,6,11,19,63,,,pt2,absentionists
SL,1,6,14,21,58,,,pt2,absentionists
LW,0,7,16,25,52,,,pt2,absentionists
CV,1,5,13,18,63,,,pt2,absentionists
AB,0,6,12,23,59,,,pt2,absentionists
SK,2,3,9,20,66,,,pt2,absentionists
EL,1,4,13,19,63,,,pt2,absentionists
BV,1,2,8,19,70,,,pt2,absentionists
