candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,53,36,5,4,2,,,pt2,far-right
MLP,45,43,7,2,3,,,pt2,far-right
MM,29,41,11,9,10,,,pt2,far-right
EC,13,37,13,17,20,,,pt2,far-right
BR,19,30,16,15,20,,,pt2,far-right
EZ,17,24,13,34,12,,,pt2,far-right
NS,7,30,24,29,10,,,pt2,far-right
GD,8,23,30,25,14,,,pt2,far-right
EP,4,26,21,34,15,,,pt2,far-right
LW,2,21,27,27,23,,,pt2,far-right
GA,3,17,26,42,12,,,pt2,far-right
SL,2,18,18,31,31,,,pt2,far-right
MBa,1,19,19,32,29,,,pt2,far-right
XB,1,15,24,36,24,,,pt2,far-right
VP,2,10,33,38,17,,,pt2,far-right
FH,2,10,22,59,7,,,pt2,far-right
GL,1,10,22,36,31,,,pt2,far-right
YBP,1,7,17,37,38,,,pt2,far-right
FRo,0,8,20,40,32,,,pt2,far-right
EB,0,6,17,63,14,,,pt2,far-right
FR,1,4,24,40,31,,,pt2,far-right
RG,0,5,19,47,29,,,pt2,far-right
AOC,0,4,14,33,49,,,pt2,far-right
EL,1,3,17,36,43,,,pt2,far-right
MT,1,3,11,53,32,,,pt2,far-right
JLM,1,3,8,82,6,,,pt2,far-right
MP,1,2,7,61,29,,,pt2,far-right
CV,0,3,21,35,41,,,pt2,far-right
BV,1,1,11,35,52,,,pt2,far-right
OF,1,1,21,42,34,,,pt2,far-right
