candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id, population
MLP,16,18,16,10,38,2,,pt1,all
JB,16,17,18,10,37,2,,pt1,all
EP,7,23,27,20,21,2,,pt1,all
BR,9,16,36,17,20,2,,pt1,all
GA,6,18,27,21,26,2,,pt1,all
GD,6,17,31,20,24,2,,pt1,all
FH,4,14,23,21,36,2,,pt1,all
RG,5,12,34,23,23,3,,pt1,all
XB,3,14,34,22,25,2,,pt1,all
BC,2,15,37,23,21,2,,pt1,all
FR,5,11,35,22,24,3,,pt1,all
JLM,6,9,14,15,54,2,,pt1,all
EZ,5,9,15,18,51,2,,pt1,all
FRo,4,10,35,25,24,2,,pt1,all
JC,2,12,35,26,23,2,,pt1,all
LW,3,9,36,25,25,2,,pt1,all
FB,3,9,32,28,26,2,,pt1,all
BLM,3,9,33,23,30,2,,pt1,all
MT,5,6,39,20,28,2,,pt1,all
OF,3,8,40,23,24,2,,pt1,all
YBP,3,8,43,20,24,2,,pt1,all
DL,2,5,48,21,22,2,,pt1,all
