candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,17,17,16,13,35,2,,pt1,all
EP,9,23,31,16,19,2,,pt1,all
MLP,15,16,18,12,37,2,,pt1,all
BR,9,19,35,14,21,2,,pt1,all
GD,5,21,32,18,22,2,,pt1,all
GA,5,21,27,22,23,2,,pt1,all
FH,3,16,24,22,33,2,,pt1,all
RG,5,13,38,20,22,2,,pt1,all
BC,3,14,40,23,18,2,,pt1,all
FR,6,11,36,22,23,2,,pt1,all
XB,3,12,39,23,21,2,,pt1,all
EZ,6,9,17,14,52,2,,pt1,all
MBa,2,13,38,24,21,2,,pt1,all
JC,3,12,36,24,23,2,,pt1,all
FRo,3,11,37,23,24,2,,pt1,all
BLM,2,12,34,22,28,2,,pt1,all
LW,2,11,37,23,25,2,,pt1,all
OF,2,10,37,25,24,2,,pt1,all
FB,1,11,33,26,27,2,,pt1,all
JLM,4,8,15,17,54,2,,pt1,all
YBP,2,9,44,20,23,2,,pt1,all
MT,3,8,36,21,30,2,,pt1,all
DL,2,7,49,20,20,2,,pt1,all
